"N°DPE","Date_réception_DPE","Date_établissement_DPE","Date_visite_diagnostiqueur","Modèle_DPE","N°_DPE_remplacé","Date_fin_validité_DPE","Version_DPE","N°_DPE_immeuble_associé","Méthode_du_DPE","N°_immatriculation_copropriété","Invariant_fiscal_logement","Etiquette_DPE","Etiquette_GES","Conso_kWhep/m²/an","Emission_GES_kgCO2/m²/an","Année_construction","Catégorie_ERP","Période_construction","Secteur_activité","Nombre_occupant","Surface_(SHON)","Surface_utile","Type_énergie_principale_chauffage","Adresse_brute","Nom__commune_(BAN)","Code_INSEE_(BAN)","N°_voie_(BAN)","Identifiant__BAN","Adresse_(BAN)","Code_postal_(BAN)","Score_BAN","Nom__rue_(BAN)","Coordonnée_cartographique_X_(BAN)","Coordonnée_cartographique_Y_(BAN)","Code_postal_(brut)","N°_étage_appartement","Nom_résidence","Complément_d'adresse_bâtiment","Cage_d'escalier","Complément_d'adresse_logement","Statut_géocodage","Nom__commune_(Brut)","N°_département_(BAN)","N°_région_(BAN)","Conso_é_finale_énergie_n°1","Conso_é_primaire_énergie_n°1","Type_énergie_n°1","Type_usage_énergie_n°1","Frais_annuel_énergie_n°1","Année_relève_conso_énergie_n°1","Conso_é_finale_énergie_n°2","Conso_é_primaire_énergie_n°2","Type_énergie_n°2","Type_usage_énergie_n°2","Frais_annuel_énergie_n°2","Année_relève_conso_énergie_n°2","Conso_é_finale_énergie_n°3","Conso_é_primaire_énergie_n°3","Type_énergie_n°3","Type_usage_énergie_n°3","Frais_annuel_énergie_n°3","Année_relève_conso_énergie_n°3"
"2493T0201660L","2024-01-18","2024-01-17","2024-01-14","DPE 2006 tertiaire et ERP",,"2034-01-16",2.3,,"dpe tertiaire vierge",,,,,,,,"5ème Catégorie","avant 1948","J : Structures d’accueil pour personnes âgées ou personnes handicapées",0,166.7,100,,"1 RUE GUTENBERG","Pantin","93055","1","93055_4190_00001","1 Rue Gutenberg 93500 Pantin","93500",0.66,"Rue Gutenberg",656288.89,6865543.22,93500,0,,"279249",,,"adresse géocodée ban à l'adresse","PANTIN","93","11",,,,,,,,,,,,,,,,,,
"2456T0212656Y","2024-01-19","2024-01-18","2024-01-18","DPE 2006 tertiaire et ERP",,"2034-01-17",2.3,,"dpe tertiaire vierge dans un bâtiment de logement",,,,,,,,"5ème Catégorie","1978-1982","J : Structures d’accueil pour personnes âgées ou personnes handicapées",0,63,100,,"5 Place de la Corderie","Sarzeau","56240","5","56240_0739_00005","5 Rue de la Corderie 56370 Sarzeau","56370",0.52,"Rue de la Corderie",265638.48,6729465.01,56370,0,,"24-01-22022",,,"adresse géocodée ban à l'adresse","SARZEAU","56","53",,,,,,,,,,,,,,,,,,
"2479T0177916R","2024-01-17","2024-01-16","2024-01-15","DPE 2006 tertiaire et ERP",,"2034-01-15",2.3,,"dpe tertiaire vierge",,,,,,,,"5ème Catégorie","1983-1988","J : Structures d’accueil pour personnes âgées ou personnes handicapées",0,21.4,100,,"56 avenue Emile Zola","Thouars","79329","56","79329_0750_00056","56 Avenue Emile Zola 79100 Thouars","79100",0.67,"Avenue Emile Zola",456094.32,6659227.66,79100,0,,"79100-ESPACE-01-2420910",,,"adresse géocodée ban à l'adresse","THOUARS","79","75",,,,,,,,,,,,,,,,,,
"2432T0206001B","2024-01-18","2024-01-17","2024-01-17","DPE 2006 tertiaire et ERP",,"2034-01-16",2.3,,"dpe tertiaire vierge",,,,,,,,"5ème Catégorie","1948-1974","J : Structures d’accueil pour personnes âgées ou personnes handicapées",0,9.5,100,,"Rue Ampère","L'Isle-Jourdain","32160",,"32160_0050","Rue AmpÃ¨re 32600 L'Isle-Jourdain","32600",0.5,"Rue AmpÃ¨re",546440.72,6280776.97,32600,0,,"24/RAPP/16123",,,"adresse géocodée ban à l'adresse","L ISLE JOURDAIN","32","76",,,,,,,,,,,,,,,,,,
"2446T0236760Q","2024-01-22","2024-01-21","2024-01-18","DPE 2006 tertiaire et ERP",,"2034-01-20",2.3,,"dpe tertiaire vierge",,,,,,,1850,"5ème Catégorie","avant 1948","J : Structures d’accueil pour personnes âgées ou personnes handicapées",0,77.1,100,,"40 Rue Émile Zola","Figeac","46102","40","46102_0830_00040","40 Rue Emile Zola 46100 Figeac","46100",0.61,"Rue Emile Zola",623510.92,6390475.14,46100,0,,"24019_FIGEAC",,"Rdc Local","adresse géocodée ban à l'adresse","FIGEAC","46","76",,,,,,,,,,,,,,,,,,
"2494T0222332O","2024-01-20","2024-01-19","2023-12-29","DPE 2006 tertiaire et ERP",,"2034-01-18",2.3,,"dpe tertiaire vierge dans un bâtiment de logement",,,,,,,,"5ème Catégorie","1948-1974","J : Structures d’accueil pour personnes âgées ou personnes handicapées",0,12.2,100,,"1 rue des Champs Élysées","Gentilly","94037","1","94037_1440_00001","1 Rue des Champs Elysées 94250 Gentilly","94250",0.64,"Rue des Champs Elysées",651503.39,6857561.47,94250,0,,"24/IMO/1001",,"Boutique Rdc","adresse géocodée ban à l'adresse","GENTILLY","94","11",,,,,,,,,,,,,,,,,,
"2473T0208072H","2024-01-19","2024-01-18","2024-01-18","DPE 2006 tertiaire et ERP",,"2034-01-17",2.3,,"dpe tertiaire facture",,,"C","B",295.8,22.6,2014,"5ème Catégorie","2013-2021","J : Structures d’accueil pour personnes âgées ou personnes handicapées",0,3185,3185,,"Résidence EHPAD Novalaise
Place des 4 saisons","Lourches","59361",,"59361_7ynll8","Residence des 4 Saisons 59156 Lourches","59156",0.53,"Residence des 4 Saisons",724892,7023795.46,73470,0,,"OPAC732_001_0883_7000_DPEBAT",,,"adresse géocodée ban à l'adresse","NOVALAISE","59","32",328295,755078.5,"Électricité","périmètre de l'usage inconnu",62844.4,2023,187072.8,187072.8,"Propane","périmètre de l'usage inconnu",21954,2023,,,,,,
"2434T0192783T","2024-01-18","2024-01-17","2024-01-16","DPE 2006 tertiaire et ERP",,"2034-01-16",2.3,,"dpe tertiaire vierge",,,,,,,,"5ème Catégorie","2013-2021","J : Structures d’accueil pour personnes âgées ou personnes handicapées",0,148,100,,"137 rue Claude Balbastre","Montpellier","34172","137","34172_0473_00137","137 Rue Claude Balbastre 34070 Montpellier","34070",0.69,"Rue Claude Balbastre",769630.4,6275362.3,34000,0,,"24017950_SCI ARIA",,,"adresse géocodée ban à l'adresse","MONTPELLIER","34","76",,,,,,,,,,,,,,,,,,
"2462T0181341T","2024-01-17","2024-01-16","2024-01-16","DPE 2006 tertiaire et ERP",,"2034-01-15",2.3,,"dpe tertiaire facture",,,"C","C",248.9,36.5,,"3ème Catégorie","avant 1948","J : Structures d’accueil pour personnes âgées ou personnes handicapées",40,2266.3,100,,"EHPAD ST ALBERT 
26 Rue du 8 mai 1945","Auchy-lès-Hesdin","62050","26","62050_5z8def_00026","26 Rue du 8 Mai 1945 62770 Auchy-lès-Hesdin","62770",0.48,"Rue du 8 Mai 1945",635885.57,7033543.68,62770,0,,"ADE2416565",,,"adresse géocodée ban à l'adresse","AUCHY LES HESDIN","62","32",370759.5,370759.5,"Gaz naturel","périmètre de l'usage inconnu",23175,2022,108574.2,249720.7,"Électricité","périmètre de l'usage inconnu",6297.3,2023,,,,,,
"2476T0214635V","2024-01-19","2024-01-18","2024-01-18","DPE 2006 tertiaire et ERP",,"2034-01-17",2.3,,"dpe tertiaire vierge",,,,,,,,"5ème Catégorie","1948-1974","J : Structures d’accueil pour personnes âgées ou personnes handicapées",5,23.9,100,,"5 Ter rue Philibert Caux","Bihorel","76095","5ter","76095_1286_00005_ter","5ter Rue Philibert Caux 76420 Bihorel","76420",0.59,"Rue Philibert Caux",563093.37,6930382.73,76420,0,,"SCI JUCAMA",,,"adresse géocodée ban à l'adresse","BIHOREL","76","28",,,,,,,,,,,,,,,,,,
