nom_methode_dpe;version_methode_dpe;date_etablissement_dpe;consommation_energie;classe_consommation_energie;estimation_ges;classe_estimation_ges;annee_construction;surface_thermique_lot;latitude;longitude;tr001_modele_dpe_type_libelle;tr002_type_batiment_description;code_insee_commune_actualise;tv016_departement_code;geo_adresse;geo_score
3CL;3CL-DPE, version 1.3;10/04/2013;197;D;10;B;1993;64,85;;;Vente;Logement;74200;74;;0
3CL - DPE;V2012;01/04/2013;383,89;F;93,15;G;1970;89;;;Vente;Maison Individuelle;56049;56;;0
MÇthode 3CL;3CL-DPE, version 1.3;10/05/2013;212;D;10;B;1983;42,25;;;Vente;Logement;19100;19;;0
3CL;3CL-DPE, version 1.3;09/04/2013;194;D;9;B;2006;111,03;;;Vente;Maison Individuelle;86580;86;;0
3CL;3CL-DPE, version 1.3;08/04/2013;206;D;10;B;2006;84;;;Vente;Logement;13013;13;;0
3CL - DPE;V2012;04/04/2013;494,04;G;29,29;D;1972;51;42,547654;2,381995;Vente;Logement;66222;66;11 Promenade Claude Nogue 66820 Vernet-les-Bains;0,68
3CL - DPE;V2012;06/04/2013;205,59;D;48,11;E;1963;85;47,999064;0,232017;Vente;Maison Individuelle;72181;72;13 Impasse Douce Amie 72000 Le Mans;0,97
3CL;3CL-DPE, version 1.3;10/04/2013;112;C;20;C;2001;115;;;Location;Maison Individuelle;35410;35;;0
MÇthode 3CL;3CL-DPE, version 1.3;16/04/2013;140;C;4;A;2001;164;;;Vente;Maison Individuelle;40090;40;;0
3CL - DPE;V2012;10/04/2013;329,01;E;76,99;F;1965;84,75;43,323833;-0,356516;Vente;Maison Individuelle;64445;64;24 rue de Lacq 64000 Pau;0,97
3CL;3CL-DPE, version 1.3;13/04/2013;322;E;17;C;1983;80;49,179488;-0,501815;Vente;Maison Individuelle;14470;14;4 Rue des Ecoles 14740 Saint-Manvieu-Norrey;0,44
3CL - DPE;V2012;02/05/2013;249,12;E;13,26;C;2006;91;48,14083;4,211108;Location;Maison Individuelle;10331;10;16bis Route de Nicey 10260 Rumilly-läs-Vaudes;0,82
3CL;3CL-DPE, version 1.3;05/04/2013;293;E;15;C;2006;91;;;Vente;Maison Individuelle;38780;38;;0
3CL;3CL-DPE, version 1.3;09/04/2013;281;E;65;F;1978;121,2;;;Vente;Maison Individuelle;23110;23;;0
3CL - DPE;V2012;02/05/2013;189,34;D;44,69;E;2000;95;;;Vente;Maison Individuelle;24303;24;;0
3CL - DPE;V2012;12/04/2013;280,67;E;13,56;C;2008;85;43,881069;1,251125;Vente;Maison Individuelle;82017;82;192 Rue Jules Ferry 82170 Bessens;0,95
FACTURE;VERSION_2012;12/04/2013;261,42;E;0;A;1970;8,75;48,81497;2,137595;Vente;Logement;78646;78;9 Rue Mansart 78000 Versailles;0,97
MÇthode 3CL;3CL-DPE, version 1.3;17/04/2013;306;E;61;F;1948;128;47,246612;-0,094598;Vente;Maison Individuelle;49328;49;129 Rue de DouÇ 49400 Saumur;0,67
